txn_id,txn_date,txn_time,txn_type,sender_account,sender_name,sender_bank,receiver_account,receiver_name,receiver_bank,amount,currency,upi_id,remarks,status,ip_address,device_fingerprint,nccrp_complaint_id
TXN_BD_001,2025-09-08,11:05:22,UPI_TRANSFER,VIC_BED_001,Victim Beed Res,SBI,ACC_BEED_MULE01,Mule Account Primary,HDFC,500000,INR,mulebeed@upi,Investment Return Deposit,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00128
TXN_BD_002,2025-09-08,11:09:35,IMPS,ACC_BEED_MULE01,Mule Account Primary,HDFC,ACC_PUN_MULE02,Mule Layer-2 Pune,ICICI,480000,INR,,Pass through layer 2,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00128
TXN_BD_003,2025-09-08,11:12:10,ATM_WITHDRAWAL,ACC_PUN_MULE02,Mule Layer-2 Pune,ICICI,,,,250000,INR,,ATM Cash Withdrawal Pune,SUCCESS,,,NCCRP-2025-MH-00128
TXN_BD_004,2025-09-08,11:15:00,SELF_CHEQUE,ACC_BEED_MULE01,Mule Account Primary,HDFC,,,,200000,INR,,Cheque Cash Out Beed Branch,SUCCESS,,,NCCRP-2025-MH-00128
TXN_BD_005,2025-09-09,14:15:00,NEFT,VIC_NGP_002,Victim Nagpur,AXIS,ACC_BEED_MULE01,Mule Account Primary,HDFC,1250000,INR,,Trading Deposit,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00142
TXN_BD_006,2025-09-09,14:18:20,IMPS,ACC_BEED_MULE01,Mule Account Primary,HDFC,ACC_MUM_MULE03,Mule Layer-2 Mumbai,PNB,1200000,INR,,Pass through layer 2,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00142
TXN_BD_007,2025-09-09,14:25:00,ATM_WITHDRAWAL,ACC_MUM_MULE03,Mule Layer-2 Mumbai,PNB,,,,500000,INR,,ATM Cash Withdrawal Mumbai,SUCCESS,,,NCCRP-2025-MH-00142
TXN_BD_008,2025-09-15,11:00:00,RTGS,VIC_AUR_003,Victim Chhatrapati Sambhajinagar,BOB,ACC_BEED_MULE01,Mule Account Primary,HDFC,2500000,INR,,Digital Arrest Security Deposit,SUCCESS,157.16.62.20,F1:22:48:AA:BC:91,NCCRP-2025-MH-00189
TXN_BD_009,2025-09-15,11:05:00,IMPS,ACC_BEED_MULE01,Mule Account Primary,HDFC,ACC_PUN_MULE02,Mule Layer-2 Pune,ICICI,2450000,INR,,Rapid split transfer,SUCCESS,157.16.62.20,F1:22:48:AA:BC:91,NCCRP-2025-MH-00189
TXN_BD_010,2025-09-15,11:30:00,SELF_CHEQUE,ACC_PUN_MULE02,Mule Layer-2 Pune,ICICI,,,,1500000,INR,,Self Cheque Withdrawal Pune,SUCCESS,,,NCCRP-2025-MH-00189
