call_id,caller_number,called_number,call_date,call_time,duration_sec,call_type,cell_tower_id,tower_location,district,imei_caller,imsi_caller,operator
BEED_CDR_001,9876001001,9765432100,2025-09-08,11:02:14,847,INCOMING,TW-BED-014,Beed City,Beed,356001234567890,404010001001001,JioSIM
BEED_CDR_002,9876001001,9765432100,2025-09-08,11:17:42,312,OUTGOING,TW-BED-014,Beed City,Beed,356001234567890,404010001001001,JioSIM
BEED_CDR_003,9765432100,9821001002,2025-09-08,11:22:10,90,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_004,9821001002,9833001003,2025-09-08,11:24:05,65,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_005,9833001003,9820001004,2025-09-08,11:25:30,45,OUTGOING,TW-MUM-202,Mumbai Andheri,Mumbai,358003456789012,404010003003003,Vi
BEED_CDR_006,9876001001,9765432100,2025-09-09,14:10:00,623,INCOMING,TW-BED-014,Beed City,Beed,356001234567890,404010001001001,JioSIM
BEED_CDR_007,9765432100,9821001002,2025-09-09,14:21:00,88,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_008,9821001002,9833001003,2025-09-09,14:22:30,55,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_009,9822002001,9765432100,2025-09-10,09:30:00,410,INCOMING,TW-NGP-055,Nagpur East,Nagpur,359004567890123,404010004004004,BSNL
BEED_CDR_010,9765432100,9821001002,2025-09-10,09:37:00,92,OUTGOING,TW-PUN-091,Pune Shivajinagar,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_011,9822002001,9765432100,2025-09-11,16:00:00,512,INCOMING,TW-NGP-055,Nagpur East,Nagpur,359004567890123,404010004004004,BSNL
BEED_CDR_012,9765432100,9833001003,2025-09-11,16:09:00,70,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_013,9823003001,9765432100,2025-09-15,10:45:00,890,INCOMING,TW-AUR-033,Aurangabad West,Aurangabad,360005678901234,404010005005005,Airtel
