session_id,subscriber_number,imei,imsi,session_start,session_end,duration_sec,bytes_uploaded,bytes_downloaded,dest_ip,dest_port,protocol,apn,cell_tower,nat_ip
IPDR_BD_001,9765432100,356001234567890,404010001001001,2025-09-08 11:00:15,2025-09-08 11:04:45,270,15240,198720,103.21.45.67,443,HTTPS,jionet,TW-BED-014,103.21.45.67
IPDR_BD_002,9765432100,356001234567890,404010001001001,2025-09-08 11:05:00,2025-09-08 11:10:00,300,28800,340000,157.16.62.20,443,HTTPS,jionet,TW-BED-014,103.21.45.67
IPDR_BD_003,9821001002,357002345678901,404010002002002,2025-09-08 11:10:20,2025-09-08 11:14:00,220,12100,154000,103.21.45.67,443,HTTPS,airtelnet,TW-PUN-088,157.16.62.20
IPDR_BD_004,9833001003,358003456789012,404010003003003,2025-09-08 11:15:30,2025-09-08 11:20:00,270,18600,210000,192.168.1.101,443,HTTPS,vilive,TW-MUM-202,192.168.1.101
IPDR_BD_005,9876001001,356001234567890,404010001001001,2025-09-09 14:00:00,2025-09-09 14:15:00,900,45000,520000,103.21.45.67,443,HTTPS,jionet,TW-BED-014,103.21.45.67
IPDR_BD_006,9765432100,356001234567890,404010001001001,2025-09-09 14:16:00,2025-09-09 14:20:00,240,22000,280000,157.16.62.20,443,HTTPS,jionet,TW-BED-014,103.21.45.67
IPDR_BD_007,9821001002,357002345678901,404010002002002,2025-09-15 11:00:00,2025-09-15 11:10:00,600,38000,410000,103.21.45.67,443,HTTPS,airtelnet,TW-PUN-088,157.16.62.20
IPDR_BD_008,9833001003,358003456789012,404010003003003,2025-09-15 11:12:00,2025-09-15 11:20:00,480,31000,390000,192.168.1.101,443,HTTPS,vilive,TW-MUM-202,192.168.1.101
IPDR_BD_009,9765432100,356001234567890,404010001001001,2025-09-25 15:30:00,2025-09-25 15:45:00,900,60000,750000,103.21.45.67,443,HTTPS,jionet,TW-BED-014,103.21.45.67
IPDR_BD_010,9821001002,357002345678901,404010002002002,2025-10-17 16:45:00,2025-10-17 17:00:00,900,55000,680000,157.16.62.20,443,HTTPS,airtelnet,TW-PUN-091,157.16.62.20
